stamp,d005es16583,d005es16640,d005es16661,d005es16701,d005es16732,d005es16756,d005es16802,d005es16831,d005es16885,d005es16919
2015-01-15 00:00:00,66,64,67,57,51,67,57,64,56,63
2015-01-15 00:05:00,65,64,67,62,54,66,61,61,64,67
2015-01-15 00:10:00,65,63,66,62,61,66,59,63,63,62
2015-01-15 00:15:00,67,63,68,61,62,71,61,60,63,65
2015-01-15 00:20:00,63,59,65,59,58,65,58,59,64,64
2015-01-15 00:25:00,65,64,67,58,55,68,60,59,60,62
2015-01-15 00:30:00,64,60,64,59,57,65,54,53,55,60
2015-01-15 00:35:00,63,60,68,59,51,69,56,60,66,68
2015-01-15 00:40:00,67,65,67,59,59,65,66,64,59,61
2015-01-15 00:45:00,63,58,60,60,60,63,57,59,57,58
2015-01-15 00:50:00,62,56,61,55,55,58,53,60,61,63
2015-01-15 00:55:00,65,68,67,62,63,65,60,59,63,66
2015-01-15 01:00:00,65,58,64,61,64,67,57,61,59,62
2015-01-15 01:05:00,63,63,68,63,63,66,54,60,61,59
2015-01-15 01:10:00,59,53,66,54,57,62,52,60,63,63
2015-01-15 01:15:00,66,59,68,64,56,65,54,57,62,61
2015-01-15 01:20:00,67,64,66,62,64,67,70,63,65,64
2015-01-15 01:25:00,60,60,67,60,61,64,55,57,58,57
2015-01-15 01:30:00,64,61,68,63,55,64,63,64,65,60
2015-01-15 01:35:00,65,62,68,55,52,63,54,59,61,62
2015-01-15 01:40:00,61,55,60,60,64,66,48,59,60,61
2015-01-15 01:45:00,67,51,67,57,51,61,49,54,54,63
2015-01-15 01:50:00,60,58,62,60,57,65,63,62,63,65
2015-01-15 01:55:00,62,57,66,63,63,69,67,63,59,68
2015-01-15 02:00:00,65,62,65,58,52,68,65,64,63,72
2015-01-15 02:05:00,66,66,69,60,64,64,64,64,64,68
2015-01-15 02:10:00,63,64,66,58,57,67,57,62,59,63
2015-01-15 02:15:00,64,60,67,62,57,67,60,61,62,58
2015-01-15 02:20:00,67,63,65,58,60,68,62,64,61,64
2015-01-15 02:25:00,60,58,65,60,61,63,44,60,61,63
2015-01-15 02:30:00,61,59,65,60,61,64,60,63,60,62
2015-01-15 02:35:00,62,60,66,60,57,68,63,63,61,59
2015-01-15 02:40:00,61,55,67,59,49,65,61,62,62,63
2015-01-15 02:45:00,64,59,68,64,64,69,66,65,65,65
2015-01-15 02:50:00,62,62,67,64,51,61,58,64,62,66
2015-01-15 02:55:00,63,56,58,61,56,67,58,59,61,67
2015-01-15 03:00:00,59,58,63,64,56,66,58,63,58,65
2015-01-15 03:05:00,60,59,68,58,60,62,58,53,58,60
2015-01-15 03:10:00,64,62,68,63,68,65,63,65,59,62
2015-01-15 03:15:00,61,58,65,58,43,69,55,59,60,62
2015-01-15 03:20:00,61,58,66,62,53,65,62,60,60,66
2015-01-15 03:25:00,64,56,67,63,49,63,64,66,66,67
2015-01-15 03:30:00,65,66,68,58,62,67,65,66,64,67
2015-01-15 03:35:00,65,59,64,62,56,64,67,63,67,68
2015-01-15 03:40:00,66,65,66,62,60,65,65,61,63,64
2015-01-15 03:45:00,67,65,68,61,63,70,72,68,65,67
2015-01-15 03:50:00,65,56,63,63,47,64,53,54,55,58
2015-01-15 03:55:00,60,57,68,63,60,63,58,64,66,69
2015-01-15 04:00:00,66,63,68,60,63,67,63,66,62,67
2015-01-15 04:05:00,65,59,66,62,61,70,60,62,63,66
2015-01-15 04:10:00,69,69,68,63,51,71,64,69,64,66
2015-01-15 04:15:00,65,68,66,64,56,72,58,65,66,67
2015-01-15 04:20:00,64,62,69,62,62,70,71,65,62,63
2015-01-15 04:25:00,65,64,65,62,62,63,63,61,61,62
2015-01-15 04:30:00,65,65,68,64,69,67,67,66,63,65
2015-01-15 04:35:00,62,64,67,65,61,69,65,64,64,67
2015-01-15 04:40:00,66,66,68,63,60,68,62,64,61,67
2015-01-15 04:45:00,64,66,70,65,60,68,67,65,65,67
2015-01-15 04:50:00,65,62,69,61,58,67,63,66,65,68
2015-01-15 04:55:00,65,66,68,65,61,68,68,64,63,67
2015-01-15 05:00:00,67,66,69,57,59,69,66,62,61,64
2015-01-15 05:05:00,59,59,64,50,59,68,60,61,60,64
2015-01-15 05:10:00,62,65,68,55,59,68,64,65,61,65
2015-01-15 05:15:00,61,60,66,54,54,67,58,61,59,64
2015-01-15 05:20:00,63,63,67,55,62,67,67,63,63,67
2015-01-15 05:25:00,63,63,67,55,64,65,68,63,64,66
2015-01-15 05:30:00,63,66,67,55,63,67,67,65,63,66
2015-01-15 05:35:00,64,66,67,54,64,68,64,63,62,65
